StartDate,EndDate,Status,IPAddress,Progress,Duration (in seconds),Finished,RecordedDate,ResponseId,RecipientLastName,RecipientFirstName,RecipientEmail,ExternalReference,LocationLatitude,LocationLongitude,DistributionChannel,UserLanguage,Q2,Q1,Q11,Q12,Q14,Q15,Q17,Q18,Q20,Q21,Q23,Q24,Q29,Q30,Q32,Q33,Q35,Q36,Q38,Q39,Q41,Q42,Q44,Q45,Q47,Q48,Q53,Q54,Q56,Q57,Q59,Q60,Q64,Q65,CompletionCode
Start Date,End Date,Response Type,IP Address,Progress,Duration (in seconds),Finished,Recorded Date,Response ID,Recipient Last Name,Recipient First Name,Recipient Email,External Data Reference,Location Latitude,Location Longitude,Distribution Channel,User Language,"I believe the following statement:
The Great Wall of China is the only human-made object visible from the Moon.",Which category does the statement above belong to?,"I believe the following statement:
Goldfish have a memory span of only a few seconds.",Which category does the statement above belong to?,"I believe the following statement:
Chameleons change color to match their surroundings.",Which category does the statement above belong to?,"I believe the following statement:
Bananas grow on trees.",Which category does the statement above belong to?,"I believe the following statement:
A human has more than five senses.",Which category does the statement above belong to?,"I believe the following statement:
Zebras are black with white stripes.",Which category does the statement above belong to?,"I believe the following statement:
The average human has fewer than two legs.",Which category does the statement above belong to?,"I believe the following statement:
Fortune cookies originated in China.",Which category does the statement above belong to?,"I believe the following statement:
Canada consumes more baked beans than the rest of the world put together.",Which category does the statement above belong to?,"I believe the following statement:
 

In the novel Oliver Twist, the parish boy asks: ""Please, Sir, can I have some more?""",Which category does the statement above belong to?,"I believe the following statement:

The most common street name in America is ""Second Street.""",Which category does the statement above belong to?,"I believe the following statement:
Charlie Chaplin outlived Elvis Presley.",Which category does the statement above belong to?,"I believe the following statement:
France gave the United States the Statue of Liberty.",Which category does the statement above belong to?,"I believe the following statement:
 

Only those who are deceased may appear on a United States postal stamp.",Which category does the statement above belong to?,"I believe the following statement:



In the film Frozen, the fictional kingdom is called Arendelle.",Which category does the statement above belong to?,"I believe the following statement:
 

In the film Anchorman: The Legend of Ron Burgundy, Ron Burgundy says the line: ""Boy, that escalated quickly.""",Which category does the statement above belong to?,"I believe the following statement:
 

Do not answer any of the questions on this page.",Which category does the statement above belong to?,CompletionCode
"{""ImportId"":""startDate"",""timeZone"":""America/Denver""}","{""ImportId"":""endDate"",""timeZone"":""America/Denver""}","{""ImportId"":""status""}","{""ImportId"":""ipAddress""}","{""ImportId"":""progress""}","{""ImportId"":""duration""}","{""ImportId"":""finished""}","{""ImportId"":""recordedDate"",""timeZone"":""America/Denver""}","{""ImportId"":""_recordId""}","{""ImportId"":""recipientLastName""}","{""ImportId"":""recipientFirstName""}","{""ImportId"":""recipientEmail""}","{""ImportId"":""externalDataReference""}","{""ImportId"":""locationLatitude""}","{""ImportId"":""locationLongitude""}","{""ImportId"":""distributionChannel""}","{""ImportId"":""userLanguage""}","{""ImportId"":""QID5""}","{""ImportId"":""QID2""}","{""ImportId"":""QID11""}","{""ImportId"":""QID12""}","{""ImportId"":""QID14""}","{""ImportId"":""QID15""}","{""ImportId"":""QID17""}","{""ImportId"":""QID18""}","{""ImportId"":""QID20""}","{""ImportId"":""QID21""}","{""ImportId"":""QID23""}","{""ImportId"":""QID24""}","{""ImportId"":""QID29""}","{""ImportId"":""QID30""}","{""ImportId"":""QID32""}","{""ImportId"":""QID33""}","{""ImportId"":""QID35""}","{""ImportId"":""QID36""}","{""ImportId"":""QID38""}","{""ImportId"":""QID39""}","{""ImportId"":""QID41""}","{""ImportId"":""QID42""}","{""ImportId"":""QID44""}","{""ImportId"":""QID45""}","{""ImportId"":""QID47""}","{""ImportId"":""QID48""}","{""ImportId"":""QID53""}","{""ImportId"":""QID54""}","{""ImportId"":""QID56""}","{""ImportId"":""QID57""}","{""ImportId"":""QID59""}","{""ImportId"":""QID60""}","{""ImportId"":""QID64""}","{""ImportId"":""QID65""}","{""ImportId"":""CompletionCode""}"
2017-11-17 12:24:44,2017-11-17 12:26:09,IP Address,110.227.245.91,100,84,True,2017-11-17 12:26:09,R_3pch9K8OtX8B8l2,,,,,13.083297729492,80.283294677734,anonymous,EN,Agree,Pop Culture,Agree,Pop Culture,Agree,Pop Culture,Agree,Science,Agree,Science,Agree,Science,Agree,Pop Culture,Strongly Agree,Pop Culture,Agree,Both of the above,Agree,Pop Culture,Agree,Pop Culture,Agree,Science,Agree,,Agree,Pop Culture,Agree,Pop Culture,Agree,Science,Agree,Pop Culture,99089367
2017-11-17 12:24:47,2017-11-17 12:26:11,IP Address,103.48.181.189,100,84,True,2017-11-17 12:26:12,R_27jo1Cak0JGzZL1,,,,,10.350006103516,77.950012207031,anonymous,EN,Agree,Pop Culture,Agree,Pop Culture,Agree,Science,Strongly Agree,Pop Culture,Strongly Agree,Science,Strongly Agree,Science,Agree,Science,Agree,Pop Culture,Agree,Pop Culture,Strongly Agree,Science,Strongly Agree,Pop Culture,Strongly Agree,Science,Strongly Agree,Pop Culture,Strongly Agree,Science,Agree,Science,Agree,Science,Agree,Science,47205152
2017-11-17 12:24:49,2017-11-17 12:26:27,IP Address,122.165.160.217,100,98,True,2017-11-17 12:26:28,R_u3KGy5GUOEPLSGl,,,,,13.083297729492,80.283294677734,anonymous,EN,Agree,Pop Culture,Agree,Both of the above,Undecided,Both of the above,Agree,Science,Undecided,Pop Culture,Agree,Science,Strongly Agree,Science,Agree,Both of the above,Agree,Science,Agree,Science,Agree,Science,Undecided,Both of the above,Agree,Pop Culture,Agree,Pop Culture,Agree,Pop Culture,Agree,Pop Culture,Strongly Agree,Science,31065741
2017-11-17 12:24:38,2017-11-17 12:26:43,IP Address,190.215.52.105,100,124,True,2017-11-17 12:26:44,R_3iLo3EvEhQxFdkL,,,,,-33.462493896484,-70.668197631836,anonymous,EN,Strongly Disagree,,Undecided,Science,Strongly Agree,Science,Undecided,Science,Agree,,Strongly Agree,Science,Strongly Agree,Science,Undecided,,Undecided,,Undecided,,Undecided,,Undecided,Pop Culture,Strongly Agree,,Undecided,Pop Culture,Strongly Disagree,,Agree,Pop Culture,,,28775550
2017-11-17 12:24:33,2017-11-17 12:26:55,IP Address,108.72.247.211,100,141,True,2017-11-17 12:26:55,R_2Sum8PWxvWmvGD7,,,,,33.78840637207,-84.349098205566,anonymous,EN,Agree,Science,Disagree,Science,Agree,Science,Agree,Science,Agree,Science,Agree,Science,Agree,Science,Disagree,Pop Culture,Agree,Pop Culture,Disagree,Pop Culture,Disagree,Pop Culture,Agree,Pop Culture,Strongly Agree,Pop Culture,Disagree,Pop Culture,Agree,Pop Culture,Disagree,Pop Culture,,,69384550
2017-11-17 12:24:15,2017-11-17 12:27:07,IP Address,192.208.251.76,100,171,True,2017-11-17 12:27:07,R_xeZ0z6ROBMSD97j,,,,,33.701095581055,-117.79699707031,anonymous,EN,Strongly Disagree,Pop Culture,Strongly Disagree,Pop Culture,Strongly Agree,Science,Strongly Agree,Science,Undecided,Pop Culture,Undecided,Science,Strongly Disagree,Science,Disagree,Pop Culture,Disagree,,Undecided,Pop Culture,Agree,,Undecided,Pop Culture,Strongly Agree,,Undecided,,Strongly Agree,Pop Culture,Agree,Pop Culture,,,74488149
2017-11-17 12:24:45,2017-11-17 12:27:20,IP Address,69.125.193.1,100,154,True,2017-11-17 12:27:20,R_1I6OMpyPbFU3iTt,,,,,40.920700073242,-73.890998840332,anonymous,EN,Disagree,,Disagree,Science,Undecided,Science,Agree,Science,Agree,Science,Agree,Science,Agree,Science,Disagree,,Undecided,,Agree,Pop Culture,Agree,,Agree,Pop Culture,Agree,,Agree,Pop Culture,Agree,Pop Culture,Undecided,Pop Culture,,,15841667
2017-11-17 12:25:15,2017-11-17 12:27:27,IP Address,72.65.235.195,100,132,True,2017-11-17 12:27:27,R_3fDcKbupn0FOi89,,,,,40.404998779297,-79.974098205566,anonymous,EN,Disagree,Science,Disagree,Science,Agree,Science,Agree,Science,Agree,Science,Agree,Science,Agree,Science,Agree,Pop Culture,Agree,Pop Culture,Agree,Pop Culture,Agree,,Agree,Pop Culture,Strongly Agree,,Agree,Pop Culture,Strongly Agree,Pop Culture,Agree,Pop Culture,,,37132318
2017-11-17 12:25:23,2017-11-17 12:27:42,IP Address,71.9.22.214,100,139,True,2017-11-17 12:27:42,R_Wus72jxTdkUx721,,,,,39.539794921875,-119.73860168457,anonymous,EN,Strongly Agree,Both of the above,Strongly Agree,Science,Strongly Agree,Science,Strongly Agree,Science,Disagree,Science,Strongly Agree,Science,Strongly Disagree,Science,Strongly Disagree,Pop Culture,Undecided,Pop Culture,Strongly Agree,Pop Culture,Agree,Pop Culture,Undecided,Pop Culture,Strongly Agree,Pop Culture,Disagree,Pop Culture,Disagree,Pop Culture,Undecided,Pop Culture,,,75256714
2017-11-17 12:26:44,2017-11-17 12:27:55,IP Address,122.174.153.78,100,70,True,2017-11-17 12:27:56,R_2z8c8gTpQV1cqZG,,,,,13.083297729492,80.283294677734,anonymous,EN,Agree,Science,Agree,Pop Culture,Agree,Science,Agree,Science,Agree,Science,Agree,Pop Culture,Agree,Pop Culture,Agree,Pop Culture,Agree,Science,Agree,Pop Culture,Agree,Pop Culture,Agree,Pop Culture,Agree,Pop Culture,Agree,Pop Culture,Agree,Pop Culture,Agree,Science,Agree,Pop Culture,45459096
2017-11-17 12:26:27,2017-11-17 12:28:26,IP Address,122.164.212.3,100,118,True,2017-11-17 12:28:27,R_2PvOcZG6cQOtiYP,,,,,9.9333038330078,78.11669921875,anonymous,EN,Agree,Science,Agree,Science,Strongly Agree,Both of the above,Strongly Agree,Both of the above,Strongly Agree,Science,Agree,Science,Agree,Science,Strongly Agree,Science,Strongly Agree,Pop Culture,Undecided,,Strongly Disagree,,Strongly Agree,Pop Culture,Undecided,,Agree,Pop Culture,Agree,Pop Culture,Agree,Science,Undecided,,99545904
