StartDate,EndDate,Status,IPAddress,Progress,Duration (in seconds),Finished,RecordedDate,ResponseId,RecipientLastName,RecipientFirstName,RecipientEmail,ExternalReference,LocationLatitude,LocationLongitude,DistributionChannel,UserLanguage,Q2,Q1,Q11,Q12,Q14,Q15,Q17,Q18,Q20,Q21,Q23,Q24,Q29,Q30,Q32,Q33,Q35,Q36,Q38,Q39,Q41,Q42,Q44,Q45,Q47,Q48,Q53,Q54,Q56,Q57,Q59,Q60,Q64,Q65,CompletionCode
Start Date,End Date,Response Type,IP Address,Progress,Duration (in seconds),Finished,Recorded Date,Response ID,Recipient Last Name,Recipient First Name,Recipient Email,External Data Reference,Location Latitude,Location Longitude,Distribution Channel,User Language,"I believe the following statement:
Humans only use 10% of their brains.",Which category does the statement above belong to?,"I believe the following statement:
You weigh more on the way down in an elevator.",Which category does the statement above belong to?,"I believe the following statement:
A blue whale's heart is the size of a truck.",Which category does the statement above belong to?,"I believe the following statement:
Contact with rust can cause a tetanus infection.",Which category does the statement above belong to?,"I believe the following statement:
25% of all bones in the human body are in the feet.",Which category does the statement above belong to?,"I believe the following statement:
Sharks can contract cancer.",Which category does the statement above belong to?,"I believe the following statement:
The human body contains enough carbon to fill 9,000 pencils.",Which category does the statement above belong to?,"I believe the following statement:
On Saturn, it can rain diamonds.",Which category does the statement above belong to?,"I believe the following statement:
In 1968, the TV series Star Trek featured the first interracial kiss aired on American TV.",Which category does the statement above belong to?,"I believe the following statement:
In the film Alien, Sigurney Weaver's spaceship is called the ""Nostremo.""",Which category does the statement above belong to?,"I believe the following statement:
Albert is the name of Batman's butler.",Which category does the statement above belong to?,"I believe the following statement:
Angelina Jolie and Brad Pitt have been married for 14 years.",Which category does the statement above belong to?,"I believe the following statement:
The Manga art style originated in Japan.",Which category does the statement above belong to?,"I believe the following statement:
Leonardo DiCaprio's first movie is 'What’s Eating Gilbert Grape?'.",Which category does the statement above belong to?,"I believe the following statement:
 

In the film Star Wars Episode V: The Empire Strikes Back, Darth Vader says the line: ""No. I am your father.""",Which category does the statement above belong to?,"I believe the following statement:
Harry Potter and the Deathly Hallows was released in 2007",Which category does the statement above belong to?,"I believe the following statement:
 

Do not answer any of the questions on this page. Just press the red arrow to continue.",Which category does the statement above belong to?,CompletionCode
"{""ImportId"":""startDate"",""timeZone"":""America/Denver""}","{""ImportId"":""endDate"",""timeZone"":""America/Denver""}","{""ImportId"":""status""}","{""ImportId"":""ipAddress""}","{""ImportId"":""progress""}","{""ImportId"":""duration""}","{""ImportId"":""finished""}","{""ImportId"":""recordedDate"",""timeZone"":""America/Denver""}","{""ImportId"":""_recordId""}","{""ImportId"":""recipientLastName""}","{""ImportId"":""recipientFirstName""}","{""ImportId"":""recipientEmail""}","{""ImportId"":""externalDataReference""}","{""ImportId"":""locationLatitude""}","{""ImportId"":""locationLongitude""}","{""ImportId"":""distributionChannel""}","{""ImportId"":""userLanguage""}","{""ImportId"":""QID5""}","{""ImportId"":""QID2""}","{""ImportId"":""QID11""}","{""ImportId"":""QID12""}","{""ImportId"":""QID14""}","{""ImportId"":""QID15""}","{""ImportId"":""QID17""}","{""ImportId"":""QID18""}","{""ImportId"":""QID20""}","{""ImportId"":""QID21""}","{""ImportId"":""QID23""}","{""ImportId"":""QID24""}","{""ImportId"":""QID29""}","{""ImportId"":""QID30""}","{""ImportId"":""QID32""}","{""ImportId"":""QID33""}","{""ImportId"":""QID35""}","{""ImportId"":""QID36""}","{""ImportId"":""QID38""}","{""ImportId"":""QID39""}","{""ImportId"":""QID41""}","{""ImportId"":""QID42""}","{""ImportId"":""QID44""}","{""ImportId"":""QID45""}","{""ImportId"":""QID47""}","{""ImportId"":""QID48""}","{""ImportId"":""QID53""}","{""ImportId"":""QID54""}","{""ImportId"":""QID56""}","{""ImportId"":""QID57""}","{""ImportId"":""QID59""}","{""ImportId"":""QID60""}","{""ImportId"":""QID64""}","{""ImportId"":""QID65""}","{""ImportId"":""CompletionCode""}"
2017-11-18 00:20:37,2017-11-18 00:22:53,IP Address,66.231.37.175,100,135,True,2017-11-18 00:22:53,R_2e9n9NVAwRsrKnN,,,,,41.901504516602,-85.034599304199,anonymous,EN,Strongly Disagree,Science,Disagree,Science,Strongly Agree,Science,Agree,Science,Undecided,Science,Agree,Science,Disagree,Science,Agree,Science,Strongly Agree,Pop Culture,Strongly Agree,Pop Culture,Strongly Disagree,Pop Culture,Agree,Pop Culture,Strongly Agree,Pop Culture,Disagree,Pop Culture,Agree,Pop Culture,Agree,Pop Culture,,,64844475
2017-11-18 00:20:52,2017-11-18 00:23:13,IP Address,198.22.162.104,100,141,True,2017-11-18 00:23:13,R_3PHwbTIU5wZHCCd,,,,,40.71110534668,-73.946899414062,anonymous,EN,Strongly Agree,Science,Strongly Agree,Science,Agree,Pop Culture,Agree,Both of the above,Strongly Agree,Science,Agree,Pop Culture,Agree,Both of the above,Agree,Science,Agree,Science,Agree,Pop Culture,Strongly Agree,Both of the above,Agree,Pop Culture,Strongly Agree,Pop Culture,Strongly Agree,Pop Culture,Strongly Agree,Both of the above,Agree,Both of the above,Agree,,27650954
2017-11-18 00:21:39,2017-11-18 00:23:16,IP Address,199.244.51.78,100,96,True,2017-11-18 00:23:16,R_2Tt51ZkJmnpugg4,,,,,40.760498046875,-73.993301391602,anonymous,EN,Agree,,Agree,,Agree,Both of the above,Agree,Pop Culture,Agree,Pop Culture,Agree,,Agree,Pop Culture,Agree,Both of the above,Agree,Pop Culture,Agree,,Agree,Science,Agree,Pop Culture,Agree,,Agree,Pop Culture,Agree,Both of the above,Agree,Pop Culture,Agree,Science,73447406
2017-11-18 00:21:45,2017-11-18 00:24:20,IP Address,216.49.6.16,100,155,True,2017-11-18 00:24:21,R_XnCKARuMKiWPzDb,,,,,41.04150390625,-76.650703430176,anonymous,EN,Strongly Agree,Science,Disagree,Science,Agree,Science,Strongly Agree,Science,Strongly Agree,Science,Undecided,Science,Agree,Science,Agree,Science,Strongly Agree,Pop Culture,Disagree,Pop Culture,Strongly Agree,Pop Culture,Agree,Pop Culture,Strongly Agree,,Strongly Agree,Pop Culture,Strongly Disagree,Pop Culture,Agree,Pop Culture,,,31895242
2017-11-18 00:23:25,2017-11-18 00:24:55,IP Address,198.22.162.104,100,89,True,2017-11-18 00:24:55,R_1fkZR0bDKZegKqw,,,,,40.71110534668,-73.946899414062,anonymous,EN,Agree,Science,Strongly Agree,Science,Agree,Pop Culture,Agree,Science,Strongly Agree,Science,Agree,Science,Agree,Science,Agree,Pop Culture,Strongly Agree,Both of the above,Agree,Science,Strongly Agree,Pop Culture,Strongly Agree,Pop Culture,Agree,Pop Culture,Strongly Agree,Pop Culture,Agree,Pop Culture,Strongly Agree,Pop Culture,,,80128910
2017-11-18 00:21:14,2017-11-18 00:25:21,IP Address,66.18.56.53,100,246,True,2017-11-18 00:25:21,R_1Cs74qFTwbmHLL9,,,,,34.936401367188,-85.310096740723,anonymous,EN,Strongly Disagree,Science,Agree,Science,Disagree,Science,Disagree,Science,Disagree,Science,Agree,Science,Agree,Science,Strongly Agree,Science,Agree,Pop Culture,Agree,Pop Culture,Strongly Disagree,Pop Culture,Agree,Pop Culture,Agree,Pop Culture,Disagree,Pop Culture,Strongly Agree,Pop Culture,Strongly Disagree,Pop Culture,,,67071416
2017-11-18 00:22:58,2017-11-18 00:25:35,IP Address,70.124.32.115,100,156,True,2017-11-18 00:25:35,R_AtFDSukfkeQtRXr,,,,,26.301696777344,-98.163299560547,anonymous,EN,Agree,Science,Disagree,Science,Agree,Science,Strongly Agree,Science,Undecided,Science,Agree,Science,Undecided,Science,Strongly Disagree,Science,Agree,Pop Culture,Undecided,Pop Culture,Strongly Disagree,Pop Culture,Strongly Disagree,Pop Culture,Disagree,Pop Culture,Strongly Disagree,Pop Culture,Strongly Disagree,Pop Culture,Undecided,Pop Culture,,,96912071
2017-11-18 00:21:51,2017-11-18 00:25:44,IP Address,71.199.251.86,100,233,True,2017-11-18 00:25:45,R_D0pCnuJqM7AjgSR,,,,,30.370300292969,-81.587196350098,anonymous,EN,Agree,Both of the above,Strongly Disagree,Science,Agree,Science,Agree,Science,Disagree,Science,Agree,Science,Disagree,Science,Undecided,Science,Disagree,Pop Culture,Undecided,Pop Culture,Strongly Disagree,Pop Culture,Strongly Disagree,Pop Culture,Agree,Pop Culture,Disagree,Pop Culture,Strongly Disagree,Pop Culture,Strongly Disagree,Pop Culture,,,25267803
