StartDate,EndDate,Status,IPAddress,Progress,Duration (in seconds),Finished,RecordedDate,ResponseId,RecipientLastName,RecipientFirstName,RecipientEmail,ExternalReference,LocationLatitude,LocationLongitude,DistributionChannel,UserLanguage,Q2,Q1,Q11,Q12,Q14,Q15,Q17,Q18,Q20,Q21,Q23,Q24,Q29,Q30,Q32,Q33,Q35,Q36,Q38,Q39,Q41,Q42,Q44,Q45,Q47,Q48,Q53,Q54,Q56,Q57,Q59,Q60,Q64,Q65,CompletionCode
Start Date,End Date,Response Type,IP Address,Progress,Duration (in seconds),Finished,Recorded Date,Response ID,Recipient Last Name,Recipient First Name,Recipient Email,External Data Reference,Location Latitude,Location Longitude,Distribution Channel,User Language,"I believe the following statement:



In the film Casablanca, Ingrid Bergman's character, Ilsa Lund, says the line: ""Play it again, Sam.""",Which category does the statement above belong to?,"I believe the following statement:



In the TV series Star Trek, Captain Kirk says: ""Live long and prosper.""",Which category does the statement above belong to?,"I believe the following statement:
Khloe Kardashian is the oldest Kardashian-Jenner sibling.",Which category does the statement above belong to?,"I believe the following statement:
Mark Ruffalo and Eric Bana have both played the Incredible Hulk in the Marvel Cinematic Universe.",Which category does the statement above belong to?,"I believe the following statement:
Meteorites can be cold when they impact the Earth's surface.",Which category does the statement above belong to?,"I believe the following statement:
Peter Parker's middle name is Benjamin.",Which category does the statement above belong to?,"I believe the following statement:
Popstar Rihanna is from the Bahamas.",Which category does the statement above belong to?,"I believe the following statement:
Schizophrenia is another name for multiple personality disorder.",Which category does the statement above belong to?,"I believe the following statement:
Taylor Swift won the 2016 Grammy for Album of the Year with the album ""1989"".",Which category does the statement above belong to?,"I believe the following statement:
 

The average human body contains 12 pints of blood.",Which category does the statement above belong to?,"I believe the following statement:

The first CD that was pressed in the U.S. was Bruce Springsteen’s Born in the USA.",Which category does the statement above belong to?,"I believe the following statement:
There are more lifeforms living on your skin than there are people on the planet Earth.",Which category does the statement above belong to?,"I believe the following statement:
There is enough DNA in an average person’s body to stretch from the sun to Pluto and back — 17 times",Which category does the statement above belong to?,"I believe the following statement:
 

When cut in half, an earthworm can continue to live as two worms.",Which category does the statement above belong to?,"I believe the following statement:


When Freddy Mercury announced that he had the AIDS virus, he passed away the next day.",Which category does the statement above belong to?,"I believe the following statement:
 

When humans feels scared, their sight gets better.",Which category does the statement above belong to?,"I believe the following statement:
 

Do not answer any of the questions on this page. Just press the red arrow to continue.",Which category does the statement above belong to?,CompletionCode
"{""ImportId"":""startDate"",""timeZone"":""America/Denver""}","{""ImportId"":""endDate"",""timeZone"":""America/Denver""}","{""ImportId"":""status""}","{""ImportId"":""ipAddress""}","{""ImportId"":""progress""}","{""ImportId"":""duration""}","{""ImportId"":""finished""}","{""ImportId"":""recordedDate"",""timeZone"":""America/Denver""}","{""ImportId"":""_recordId""}","{""ImportId"":""recipientLastName""}","{""ImportId"":""recipientFirstName""}","{""ImportId"":""recipientEmail""}","{""ImportId"":""externalDataReference""}","{""ImportId"":""locationLatitude""}","{""ImportId"":""locationLongitude""}","{""ImportId"":""distributionChannel""}","{""ImportId"":""userLanguage""}","{""ImportId"":""QID5""}","{""ImportId"":""QID2""}","{""ImportId"":""QID11""}","{""ImportId"":""QID12""}","{""ImportId"":""QID14""}","{""ImportId"":""QID15""}","{""ImportId"":""QID17""}","{""ImportId"":""QID18""}","{""ImportId"":""QID20""}","{""ImportId"":""QID21""}","{""ImportId"":""QID23""}","{""ImportId"":""QID24""}","{""ImportId"":""QID29""}","{""ImportId"":""QID30""}","{""ImportId"":""QID32""}","{""ImportId"":""QID33""}","{""ImportId"":""QID35""}","{""ImportId"":""QID36""}","{""ImportId"":""QID38""}","{""ImportId"":""QID39""}","{""ImportId"":""QID41""}","{""ImportId"":""QID42""}","{""ImportId"":""QID44""}","{""ImportId"":""QID45""}","{""ImportId"":""QID47""}","{""ImportId"":""QID48""}","{""ImportId"":""QID53""}","{""ImportId"":""QID54""}","{""ImportId"":""QID56""}","{""ImportId"":""QID57""}","{""ImportId"":""QID59""}","{""ImportId"":""QID60""}","{""ImportId"":""QID64""}","{""ImportId"":""QID65""}","{""ImportId"":""CompletionCode""}"
2017-11-20 00:30:35,2017-11-20 00:32:57,IP Address,98.227.126.206,100,142,True,2017-11-20 00:32:58,R_2y7xSFjmUh17t8z,,,,,42.341201782227,-88.113700866699,anonymous,EN,Agree,Pop Culture,Strongly Agree,Pop Culture,Strongly Disagree,Pop Culture,Agree,Pop Culture,Strongly Disagree,Science,Undecided,Pop Culture,Undecided,Pop Culture,Disagree,Science,Agree,Pop Culture,Undecided,Science,Agree,Pop Culture,Agree,Science,Disagree,Science,Strongly Agree,Science,Strongly Disagree,Pop Culture,Agree,Science,,,11231160
2017-11-20 00:30:00,2017-11-20 00:33:17,IP Address,68.4.192.232,100,197,True,2017-11-20 00:33:18,R_1jBySDNCnKmcC3L,,,,,33.605102539062,-117.64399719238,anonymous,EN,Agree,Pop Culture,Disagree,Pop Culture,Disagree,Pop Culture,Agree,Pop Culture,Disagree,Science,Agree,Pop Culture,Agree,Pop Culture,Disagree,Science,Agree,Pop Culture,Disagree,Science,Agree,Pop Culture,Agree,Science,Undecided,Science,Agree,Science,Disagree,Pop Culture,Disagree,Science,,,18569187
2017-11-20 00:31:46,2017-11-20 00:33:42,IP Address,75.25.130.131,100,115,True,2017-11-20 00:33:43,R_2c1qBZ8cYEAtbpV,,,,,37.306106567383,-122.00199890137,anonymous,EN,Agree,Pop Culture,Agree,Pop Culture,Undecided,Pop Culture,Agree,Pop Culture,Agree,Science,Undecided,Pop Culture,Undecided,Pop Culture,Disagree,Science,Agree,Pop Culture,Agree,Science,Agree,Pop Culture,Agree,Science,Agree,Science,Agree,Science,Disagree,Both of the above,Disagree,Science,,,69917297
2017-11-20 00:30:19,2017-11-20 00:34:01,IP Address,108.6.127.118,100,222,True,2017-11-20 00:34:02,R_1jwaTILnEaGtvW1,,,,,40.859405517578,-73.212097167969,anonymous,EN,Strongly Agree,Pop Culture,Strongly Agree,Pop Culture,Undecided,Pop Culture,Undecided,Pop Culture,Strongly Agree,Science,Undecided,Pop Culture,Undecided,Pop Culture,Strongly Agree,Science,Undecided,Pop Culture,Undecided,Science,Undecided,Pop Culture,Undecided,Science,Undecided,Pop Culture,Strongly Agree,Science,Undecided,Pop Culture,Strongly Agree,Science,,,87843450
2017-11-20 00:31:33,2017-11-20 00:34:03,IP Address,108.20.228.24,100,149,True,2017-11-20 00:34:03,R_20UmdZfSMUbA9Sb,,,,,42.626998901367,-70.860198974609,anonymous,EN,Agree,Pop Culture,Strongly Agree,Pop Culture,Agree,Pop Culture,Agree,Pop Culture,Disagree,Science,Disagree,Pop Culture,Undecided,Pop Culture,Strongly Disagree,,Agree,Pop Culture,Agree,Science,Disagree,Pop Culture,Strongly Agree,Science,Disagree,Science,Agree,Science,Disagree,Pop Culture,Strongly Agree,Science,,,60490398
2017-11-20 00:31:02,2017-11-20 00:34:29,IP Address,172.58.41.115,100,207,True,2017-11-20 00:34:30,R_a2wgcbvV8O8J97z,,,,,47.307800292969,-122.31770324707,anonymous,EN,Strongly Agree,,Strongly Disagree,,Strongly Disagree,Both of the above,Undecided,Pop Culture,Strongly Agree,Science,Undecided,,Undecided,,Agree,Science,Undecided,Pop Culture,Agree,Science,Undecided,,Strongly Agree,Science,Undecided,Science,Strongly Agree,Science,Undecided,Pop Culture,Agree,Science,,,70056872
2017-11-20 00:31:46,2017-11-20 00:34:31,IP Address,166.182.81.148,100,164,True,2017-11-20 00:34:31,R_3k7jOmPXEDU9AQd,,,,,35.46760559082,-97.516403198242,anonymous,EN,Undecided,Pop Culture,Agree,Pop Culture,Undecided,,Undecided,Pop Culture,Strongly Disagree,Science,Disagree,Pop Culture,Undecided,Pop Culture,Agree,Science,Undecided,Pop Culture,Agree,Science,Disagree,Pop Culture,Disagree,Science,Undecided,Science,Agree,Science,Undecided,Pop Culture,Undecided,Science,,,49185325
2017-11-20 00:31:38,2017-11-20 00:34:38,IP Address,97.84.105.130,100,179,True,2017-11-20 00:34:38,R_1Ito6nWAbZIvtDm,,,,,35.967803955078,-118.91989898682,anonymous,EN,Undecided,Pop Culture,Strongly Disagree,Pop Culture,Strongly Disagree,Pop Culture,Agree,Pop Culture,Undecided,Science,Undecided,Pop Culture,Strongly Disagree,Pop Culture,Strongly Agree,Science,Undecided,Pop Culture,Agree,Science,Strongly Disagree,Pop Culture,Agree,Science,Agree,Science,Undecided,Science,Strongly Disagree,Pop Culture,Agree,Science,,,91563392
