StartDate,EndDate,Status,IPAddress,Progress,Duration (in seconds),Finished,RecordedDate,ResponseId,RecipientLastName,RecipientFirstName,RecipientEmail,ExternalReference,LocationLatitude,LocationLongitude,DistributionChannel,UserLanguage,Q2,Q1,Q11,Q12,Q14,Q15,Q17,Q18,Q20,Q21,Q23,Q24,Q29,Q30,Q32,Q33,Q35,Q36,Q38,Q39,Q41,Q42,Q44,Q45,Q47,Q48,Q53,Q54,Q56,Q57,Q59,Q60,Q64,Q65,CompletionCode
Start Date,End Date,Response Type,IP Address,Progress,Duration (in seconds),Finished,Recorded Date,Response ID,Recipient Last Name,Recipient First Name,Recipient Email,External Data Reference,Location Latitude,Location Longitude,Distribution Channel,User Language,"I believe the following statement:
Humans only use 10% of their brains.",Which category does the statement above belong to?,"I believe the following statement:
You weigh more on the way down in an elevator.",Which category does the statement above belong to?,"I believe the following statement:
A blue whale's heart is the size of a truck.",Which category does the statement above belong to?,"I believe the following statement:
Contact with rust can cause a tetanus infection.",Which category does the statement above belong to?,"I believe the following statement:
25% of all bones in the human body are in the feet.",Which category does the statement above belong to?,"I believe the following statement:
Sharks can contract cancer.",Which category does the statement above belong to?,"I believe the following statement:
The human body contains enough carbon to fill 9,000 pencils.",Which category does the statement above belong to?,"I believe the following statement:
On Saturn, it can rain diamonds.",Which category does the statement above belong to?,"I believe the following statement:
In 1968, the TV series Star Trek featured the first interracial kiss aired on American TV.",Which category does the statement above belong to?,"I believe the following statement:
In the film Alien, Sigurney Weaver's spaceship is called the ""Nostremo.""",Which category does the statement above belong to?,"I believe the following statement:
Albert is the name of Batman's butler.",Which category does the statement above belong to?,"I believe the following statement:
Angelina Jolie and Brad Pitt have been married for 14 years.",Which category does the statement above belong to?,"I believe the following statement:
The Manga art style originated in Japan.",Which category does the statement above belong to?,"I believe the following statement:
Leonardo DiCaprio's first movie is 'What’s Eating Gilbert Grape?'.",Which category does the statement above belong to?,"I believe the following statement:
 

In the film Star Wars Episode V: The Empire Strikes Back, Darth Vader says the line: ""No. I am your father.""",Which category does the statement above belong to?,"I believe the following statement:
Harry Potter and the Deathly Hallows was released in 2007",Which category does the statement above belong to?,"I believe the following statement:
 

Do not answer any of the questions on this page.",Which category does the statement above belong to?,CompletionCode
"{""ImportId"":""startDate"",""timeZone"":""America/Denver""}","{""ImportId"":""endDate"",""timeZone"":""America/Denver""}","{""ImportId"":""status""}","{""ImportId"":""ipAddress""}","{""ImportId"":""progress""}","{""ImportId"":""duration""}","{""ImportId"":""finished""}","{""ImportId"":""recordedDate"",""timeZone"":""America/Denver""}","{""ImportId"":""_recordId""}","{""ImportId"":""recipientLastName""}","{""ImportId"":""recipientFirstName""}","{""ImportId"":""recipientEmail""}","{""ImportId"":""externalDataReference""}","{""ImportId"":""locationLatitude""}","{""ImportId"":""locationLongitude""}","{""ImportId"":""distributionChannel""}","{""ImportId"":""userLanguage""}","{""ImportId"":""QID5""}","{""ImportId"":""QID2""}","{""ImportId"":""QID11""}","{""ImportId"":""QID12""}","{""ImportId"":""QID14""}","{""ImportId"":""QID15""}","{""ImportId"":""QID17""}","{""ImportId"":""QID18""}","{""ImportId"":""QID20""}","{""ImportId"":""QID21""}","{""ImportId"":""QID23""}","{""ImportId"":""QID24""}","{""ImportId"":""QID29""}","{""ImportId"":""QID30""}","{""ImportId"":""QID32""}","{""ImportId"":""QID33""}","{""ImportId"":""QID35""}","{""ImportId"":""QID36""}","{""ImportId"":""QID38""}","{""ImportId"":""QID39""}","{""ImportId"":""QID41""}","{""ImportId"":""QID42""}","{""ImportId"":""QID44""}","{""ImportId"":""QID45""}","{""ImportId"":""QID47""}","{""ImportId"":""QID48""}","{""ImportId"":""QID53""}","{""ImportId"":""QID54""}","{""ImportId"":""QID56""}","{""ImportId"":""QID57""}","{""ImportId"":""QID59""}","{""ImportId"":""QID60""}","{""ImportId"":""QID64""}","{""ImportId"":""QID65""}","{""ImportId"":""CompletionCode""}"
2017-11-17 22:09:51,2017-11-17 22:12:40,IP Address,59.97.113.84,100,168,True,2017-11-17 22:12:40,R_eP9hVz5O747J9st,,,,,9.9333038330078,78.11669921875,anonymous,EN,Strongly Agree,Science,Strongly Agree,Science,Agree,Science,Strongly Agree,Science,Strongly Agree,Science,Strongly Agree,Science,Strongly Agree,Science,Strongly Agree,Science,Agree,Pop Culture,Strongly Agree,Both of the above,Agree,,Strongly Agree,Pop Culture,Strongly Agree,Pop Culture,Strongly Agree,Pop Culture,Agree,,Agree,Science,Strongly Agree,Science,17459116
2017-11-17 22:22:44,2017-11-17 22:24:40,IP Address,66.66.153.4,100,116,True,2017-11-17 22:24:41,R_30wyVnjWSEZdlGW,,,,,43.224594116211,-77.592002868652,anonymous,EN,Disagree,Science,Agree,Science,Agree,Science,Agree,Science,Agree,Science,Agree,Science,Agree,Science,Agree,Science,Agree,Pop Culture,Disagree,Pop Culture,Disagree,Pop Culture,Disagree,Pop Culture,Agree,Pop Culture,Disagree,Pop Culture,Agree,Pop Culture,Agree,Pop Culture,,,32981535
2017-11-17 22:35:24,2017-11-17 22:36:25,IP Address,103.58.116.179,100,61,True,2017-11-17 22:36:26,R_2Sq1YyW9vmWSizl,,,,,11.649993896484,78.166687011719,anonymous,EN,Strongly Agree,Pop Culture,Agree,Pop Culture,Agree,Both of the above,Agree,Science,Strongly Agree,Science,Strongly Agree,Pop Culture,Agree,Both of the above,Strongly Agree,Pop Culture,Agree,Pop Culture,Strongly Agree,Pop Culture,Strongly Agree,Pop Culture,Strongly Agree,Both of the above,Agree,Both of the above,Agree,Pop Culture,Strongly Agree,Science,Strongly Agree,Pop Culture,Strongly Agree,Science,16629567
2017-11-17 22:34:58,2017-11-17 22:36:47,IP Address,108.18.69.59,100,109,True,2017-11-17 22:36:48,R_3oGGCIHZO9XgQpv,,,,,38.878997802734,-76.989799499512,anonymous,EN,Strongly Disagree,Pop Culture,Disagree,Both of the above,Agree,Science,Strongly Agree,Science,Agree,Science,Strongly Agree,Science,Undecided,Both of the above,Agree,Science,Strongly Agree,Pop Culture,Undecided,Pop Culture,Strongly Agree,Pop Culture,Agree,Pop Culture,Strongly Agree,Pop Culture,Undecided,Pop Culture,Strongly Disagree,Pop Culture,Undecided,Pop Culture,,,67826891
2017-11-17 22:35:11,2017-11-17 22:36:55,IP Address,122.164.111.43,100,104,True,2017-11-17 22:36:56,R_28Taw6GRjnASuED,,,,,13.083297729492,80.283294677734,anonymous,EN,Disagree,Science,Agree,Science,Agree,Science,Strongly Agree,Both of the above,Agree,Both of the above,Disagree,Science,Agree,Science,Agree,Pop Culture,Agree,Both of the above,Agree,Pop Culture,Agree,Science,Agree,Science,Agree,Pop Culture,Agree,Both of the above,Agree,Pop Culture,Agree,Pop Culture,Undecided,,82736862
2017-11-17 22:35:29,2017-11-17 22:37:11,IP Address,107.15.144.116,100,102,True,2017-11-17 22:37:11,R_roGjFHJlrUEMPy9,,,,,35.902206420898,-78.628303527832,anonymous,EN,Strongly Disagree,Science,Agree,Science,Agree,Science,Strongly Agree,Science,Agree,Science,Disagree,Science,Undecided,Science,Disagree,Science,Agree,Pop Culture,Undecided,Pop Culture,Undecided,Pop Culture,Disagree,Pop Culture,Agree,Pop Culture,Strongly Agree,Pop Culture,Strongly Agree,Pop Culture,Agree,Pop Culture,,,46042698
2017-11-17 22:35:43,2017-11-17 22:37:28,IP Address,157.50.23.223,100,104,True,2017-11-17 22:37:29,R_3iQ29xYeh9AMzQ1,,,,,13.083297729492,80.283294677734,anonymous,EN,Disagree,Pop Culture,Strongly Agree,,Undecided,Pop Culture,Disagree,Pop Culture,Disagree,Pop Culture,Disagree,Both of the above,Disagree,Pop Culture,Disagree,Pop Culture,Disagree,Science,Strongly Disagree,Science,Agree,Both of the above,Strongly Agree,Pop Culture,Agree,Science,Disagree,Pop Culture,Disagree,Both of the above,Undecided,Both of the above,Disagree,,75159442
2017-11-17 22:34:52,2017-11-17 22:37:32,IP Address,68.231.80.191,100,159,True,2017-11-17 22:37:33,R_3nip3G2Qi6sLIyW,,,,,33.623794555664,-112.00399780273,anonymous,EN,Disagree,Science,Agree,Science,Disagree,Science,Strongly Agree,Science,Agree,Science,Disagree,Science,Undecided,Science,Strongly Disagree,Science,Agree,Pop Culture,Undecided,Pop Culture,Agree,Pop Culture,Strongly Disagree,Pop Culture,Agree,Pop Culture,Strongly Agree,Pop Culture,Agree,Pop Culture,Undecided,Pop Culture,,,20748924
